id,date,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
South Dakota,2021-01-09,321,438.86,49.61,14,9.86,1.11
South Carolina,2021-01-09,5908,5338.0,103.68,63,53.29,1.03
Rhode Island,2021-01-09,0,1380.71,130.33,0,19.86,1.87
Pennsylvania,2021-01-09,9407,8130.14,63.51,254,201.57,1.57
Oregon,2021-01-09,1629,1161.14,27.53,17,14.86,0.35
Oklahoma,2021-01-09,4289,4117.14,104.05,35,30.14,0.76
Ohio,2021-01-09,8374,8043.43,68.81,55,83.14,0.71
North Dakota,2021-01-09,120,238.29,31.27,0,6.14,0.81
North Carolina,2021-01-09,9528,7824.71,74.61,85,76.43,0.73
New York,2021-01-09,17839,15374.14,79.03,195,169.57,0.87
New Mexico,2021-01-09,1498,1367.86,65.23,22,28.29,1.35
New Jersey,2021-01-09,7411,6282.83,70.74,98,95.29,1.07
New Hampshire,2021-01-09,719,812.43,59.75,16,13.29,0.98
Nevada,2021-01-09,2556,2436.86,79.11,48,42.71,1.39
Nebraska,2021-01-09,990,1045.0,54.02,4,10.4,0.54
Montana,2021-01-09,448,589.29,55.14,5,11.86,1.11
Missouri,2021-01-09,3276,3527.43,57.47,33,57.0,0.93
Mississippi,2021-01-09,3203,2370.14,79.64,45,43.71,1.47
Minnesota,2021-01-09,2469,2370.0,42.02,43,42.14,0.75
Michigan,2021-01-09,2745,3514.86,35.19,231,119.71,1.2
Massachusetts,2021-01-09,7414,6136.29,89.03,89,81.71,1.19
Maryland,2021-01-09,3754,2885.14,47.72,30,39.86,0.66
Maine,2021-01-09,612,539.14,40.11,6,10.57,0.79
Louisiana,2021-01-09,0,3736.57,80.38,0,49.29,1.06
Kentucky,2021-01-09,4293,3995.14,89.42,20,30.71,0.69
Kansas,2021-01-09,106,2167.0,74.38,0,38.43,1.32
Iowa,2021-01-09,1409,1753.71,55.58,3,25.86,0.82
Indiana,2021-01-09,5966,5073.43,75.36,74,79.43,1.18
Illinois,2021-01-09,6628,6994.57,55.2,102,142.14,1.12
Idaho,2021-01-09,738,1003.71,56.17,4,11.29,0.63
Hawaii,2021-01-09,228,175.29,12.38,4,2.57,0.18
Georgia,2021-01-09,11532,8891.43,83.74,138,69.14,0.65
Florida,2021-01-09,15445,15694.86,73.08,138,130.57,0.61
District of Columbia,2021-01-09,350,278.29,39.43,4,3.0,0.43
Delaware,2021-01-09,972,800.29,82.18,12,5.57,0.57
Connecticut,2021-01-09,0,2267.71,63.61,0,32.14,0.9
Colorado,2021-01-09,3392,2914.71,50.61,55,40.86,0.71
California,2021-01-09,47230,41348.0,104.65,473,451.0,1.14
Arkansas,2021-01-09,2886,2900.57,96.12,44,40.14,1.33
Arizona,2021-01-09,9754,10391.14,142.76,113,146.0,2.01
Alaska,2021-01-09,315,304.57,41.63,1,1.14,0.16
Alabama,2021-01-09,4863,4241.71,86.51,108,61.0,1.24
Northern Mariana Islands,2021-01-10,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-10,8,12.14,7.21,0,0.14,0.08
Puerto Rico,2021-01-10,489,707.14,20.88,14,12.14,0.36
Virgin Islands,2021-01-10,0,0.0,0.0,0,0.0,0.0
Wyoming,2021-01-10,113,279.57,48.31,0,7.29,1.26
Wisconsin,2021-01-10,2126,3430.71,58.92,3,43.86,0.75
West Virginia,2021-01-10,1434,1450.57,80.94,12,29.43,1.64
Washington,2021-01-10,501,2539.43,33.35,1,36.0,0.47
Virginia,2021-01-10,5141,5013.0,58.73,2,37.0,0.43
Vermont,2021-01-10,177,167.71,26.88,0,2.29,0.37
Utah,2021-01-10,2276,3218.0,100.38,1,13.14,0.41
Texas,2021-01-10,14043,22542.0,77.74,158,292.14,1.01
Tennessee,2021-01-10,6901,6822.86,99.91,81,107.57,1.58
South Dakota,2021-01-10,417,398.0,44.99,15,10.29,1.16
South Carolina,2021-01-10,4441,4693.71,91.16,53,48.86,0.95
Rhode Island,2021-01-10,0,1380.71,130.33,0,19.86,1.87
Pennsylvania,2021-01-10,6864,8471.29,66.17,99,208.0,1.62
Oregon,2021-01-10,1207,1134.0,26.89,0,13.86,0.33
Oklahoma,2021-01-10,6487,3898.57,98.52,23,30.57,0.77
Ohio,2021-01-10,6088,7940.57,67.93,28,78.71,0.67
North Dakota,2021-01-10,158,239.43,31.42,0,6.14,0.81
North Carolina,2021-01-10,8788,8320.43,79.33,141,92.29,0.88
New York,2021-01-10,16308,15956.43,82.02,167,172.43,0.89
New Mexico,2021-01-10,1203,1394.71,66.52,17,28.29,1.35
New Jersey,2021-01-10,5646,6612.17,74.44,32,96.86,1.09
New Hampshire,2021-01-10,729,735.71,54.11,7,12.71,0.94
Nevada,2021-01-10,2099,2412.71,78.33,13,39.29,1.28
Nebraska,2021-01-10,356,994.86,51.43,3,11.0,0.57
Montana,2021-01-10,208,563.29,52.7,2,12.0,1.12
Missouri,2021-01-10,2300,3485.29,56.79,7,55.43,0.9
Mississippi,2021-01-10,2214,2431.57,81.7,21,42.29,1.42
Minnesota,2021-01-10,2159,2291.0,40.62,44,40.86,0.72
Michigan,2021-01-10,56,3491.14,34.96,0,119.71,1.2
Massachusetts,2021-01-10,5656,6447.0,93.54,77,77.29,1.12
Maryland,2021-01-10,3318,3052.29,50.49,26,39.71,0.66
Maine,2021-01-10,279,529.43,39.39,0,10.43,0.78
Louisiana,2021-01-10,5398,3681.57,79.19,40,48.0,1.03
Kentucky,2021-01-10,3054,4049.29,90.64,10,30.14,0.67
Kansas,2021-01-10,8,2168.14,74.42,0,38.43,1.32
Iowa,2021-01-10,511,1709.57,54.18,11,27.43,0.87
Indiana,2021-01-10,5091,5373.71,79.82,19,72.86,1.08
Illinois,2021-01-10,4649,7026.14,55.45,83,139.0,1.1
Idaho,2021-01-10,426,1024.86,57.35,6,12.14,0.68
Hawaii,2021-01-10,178,183.29,12.95,1,2.71,0.19
Georgia,2021-01-10,7804,9202.29,86.67,1,68.71,0.65
Florida,2021-01-10,12313,15939.14,74.21,108,132.14,0.62
District of Columbia,2021-01-10,334,289.57,41.03,4,3.29,0.47
Delaware,2021-01-10,798,827.0,84.93,3,6.0,0.62
Connecticut,2021-01-10,0,2267.71,63.61,0,32.14,0.9
Colorado,2021-01-10,2162,2932.14,50.92,17,40.29,0.7
California,2021-01-10,42413,42276.29,107.0,301,480.71,1.22
Arkansas,2021-01-10,3330,3085.86,102.26,33,42.0,1.39
Arizona,2021-01-10,6646,8880.29,122.0,58,154.29,2.12
Alaska,2021-01-10,254,298.43,40.79,0,1.14,0.16
Alabama,2021-01-10,2750,4280.86,87.31,35,65.86,1.34
Northern Mariana Islands,2021-01-11,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-11,11,11.29,6.7,0,0.14,0.08
Puerto Rico,2021-01-11,349,666.14,19.67,12,12.43,0.37
Virgin Islands,2021-01-11,0,0.0,0.0,0,0.0,0.0
Wyoming,2021-01-11,563,306.86,53.02,0,7.29,1.26
Wisconsin,2021-01-11,1682,3438.71,59.06,5,43.29,0.74
West Virginia,2021-01-11,1070,1485.14,82.87,12,28.29,1.58
Washington,2021-01-11,4738,2820.43,37.04,17,33.57,0.44
Virginia,2021-01-11,4530,5121.43,60.0,10,37.29,0.44
Vermont,2021-01-11,111,172.14,27.59,0,1.71,0.27
Utah,2021-01-11,1503,3124.14,97.45,7,13.29,0.41
Texas,2021-01-11,23766,22635.0,78.06,121,291.29,1.0
Tennessee,2021-01-11,4255,6882.43,100.78,80,99.14,1.45
South Dakota,2021-01-11,181,408.0,46.12,0,10.29,1.16
South Carolina,2021-01-11,3129,4597.43,89.29,15,48.86,0.95
Rhode Island,2021-01-11,2993,1128.43,106.52,31,13.14,1.24
Pennsylvania,2021-01-11,6461,8742.57,68.29,81,209.57,1.64
Oregon,2021-01-11,924,1162.0,27.55,21,15.86,0.38
Oklahoma,2021-01-11,3885,4068.0,102.81,14,31.86,0.81
Ohio,2021-01-11,7892,8219.14,70.31,75,79.86,0.68
North Dakota,2021-01-11,114,227.29,29.83,0,5.86,0.77
North Carolina,2021-01-11,9491,8710.86,83.05,26,90.71,0.86
New York,2021-01-11,14179,16376.0,84.18,196,176.71,0.91
New Mexico,2021-01-11,930,1396.0,66.58,15,27.14,1.29
New Jersey,2021-01-11,5337,6430.0,72.39,46,98.29,1.11
New Hampshire,2021-01-11,707,711.29,52.31,0,12.57,0.92
Nevada,2021-01-11,1713,2449.57,79.53,33,42.0,1.36
Nebraska,2021-01-11,654,982.43,50.79,20,11.2,0.58
Montana,2021-01-11,433,572.0,53.52,1,11.71,1.1
Missouri,2021-01-11,3606,3535.29,57.6,20,56.43,0.92
Mississippi,2021-01-11,1227,2376.0,79.83,19,43.14,1.45
Minnesota,2021-01-11,980,1981.86,35.14,4,39.57,0.7
Michigan,2021-01-11,5370,3446.29,34.51,49,114.57,1.15
Massachusetts,2021-01-11,4251,6351.43,92.15,55,76.71,1.11
Maryland,2021-01-11,3021,3129.14,51.76,29,39.14,0.65
Maine,2021-01-11,313,520.43,38.72,6,11.14,0.83
Louisiana,2021-01-11,1405,3721.86,80.06,45,47.57,1.02
Kentucky,2021-01-11,2591,3902.43,87.35,23,25.71,0.58
Kansas,2021-01-11,4892,2290.14,78.61,107,51.14,1.76
Iowa,2021-01-11,1092,1631.14,51.7,1,21.0,0.67
Indiana,2021-01-11,3685,5383.43,79.97,31,71.71,1.07
Illinois,2021-01-11,5162,6998.71,55.23,70,135.86,1.07
Idaho,2021-01-11,815,960.57,53.75,16,12.86,0.72
Hawaii,2021-01-11,162,195.71,13.82,0,2.71,0.19
Georgia,2021-01-11,7957,9604.14,90.46,16,70.0,0.66
Florida,2021-01-11,11576,15984.86,74.43,159,140.14,0.65
District of Columbia,2021-01-11,202,298.43,42.29,4,3.43,0.49
Delaware,2021-01-11,554,784.86,80.6,14,7.0,0.72
Connecticut,2021-01-11,7364,2674.57,75.02,92,35.43,0.99
Colorado,2021-01-11,1796,2796.57,48.56,12,40.0,0.69
California,2021-01-11,40624,42262.14,106.96,381,483.71,1.22
Arkansas,2021-01-11,1268,3080.43,102.08,38,40.14,1.33
Arizona,2021-01-11,9225,9461.29,129.99,6,154.71,2.13
Alaska,2021-01-11,176,285.86,39.08,0,0.86,0.12
Alabama,2021-01-11,2100,4272.14,87.13,13,67.0,1.37
Northern Mariana Islands,2021-01-12,3,0.86,1.59,0,0.0,0.0
Guam,2021-01-12,6,10.29,6.1,0,0.14,0.08
Puerto Rico,2021-01-12,959,729.71,21.54,3,11.86,0.35
Virgin Islands,2021-01-12,124,17.71,16.67,1,0.14,0.13
Wyoming,2021-01-12,677,357.57,61.78,33,8.29,1.43
Wisconsin,2021-01-12,3307,3337.0,57.31,59,37.86,0.65
West Virginia,2021-01-12,921,1434.43,80.04,40,27.43,1.53
Washington,2021-01-12,2292,2807.14,36.86,76,36.86,0.48
Virginia,2021-01-12,4561,5147.71,60.31,84,40.86,0.48
Vermont,2021-01-12,169,172.71,27.68,2,1.29,0.21
Utah,2021-01-12,2127,2954.0,92.14,22,15.43,0.48
Texas,2021-01-12,27060,22071.14,76.12,297,295.43,1.02
Tennessee,2021-01-12,3849,6690.0,97.96,146,105.86,1.55
South Dakota,2021-01-12,244,381.0,43.07,0,10.29,1.16
South Carolina,2021-01-12,1703,4469.14,86.8,34,51.71,1.0
Rhode Island,2021-01-12,786,1077.29,101.69,23,14.29,1.35
Pennsylvania,2021-01-12,7245,8493.14,66.34,230,215.43,1.68
Oregon,2021-01-12,1184,1183.29,28.05,41,17.0,0.4
Oklahoma,2021-01-12,2210,4169.86,105.38,29,33.29,0.84
Ohio,2021-01-12,7981,8276.43,70.8,100,79.29,0.68
North Dakota,2021-01-12,138,210.71,27.65,3,3.86,0.51
North Carolina,2021-01-12,5336,8574.43,81.75,52,86.71,0.83
New York,2021-01-12,14791,16611.57,85.39,184,181.86,0.93
New Mexico,2021-01-12,887,1353.57,64.55,30,28.57,1.36
New Jersey,2021-01-12,4586,6190.29,69.69,107,93.86,1.06
New Hampshire,2021-01-12,841,736.57,54.17,9,12.29,0.9
Nevada,2021-01-12,2629,2484.29,80.65,48,43.57,1.41
Nebraska,2021-01-12,1035,946.14,48.91,24,12.0,0.62
Montana,2021-01-12,422,521.43,48.79,10,8.71,0.82
Missouri,2021-01-12,2486,3449.71,56.21,159,53.14,0.87
Mississippi,2021-01-12,1648,2359.0,79.26,98,44.14,1.48
Minnesota,2021-01-12,1315,1945.0,34.49,13,38.86,0.69
Michigan,2021-01-12,2678,3380.71,33.85,103,98.29,0.98
Massachusetts,2021-01-12,5487,6475.29,93.95,67,77.0,1.12
Maryland,2021-01-12,2660,3229.57,53.42,66,40.71,0.67
Maine,2021-01-12,715,537.29,39.97,11,11.43,0.85
Louisiana,2021-01-12,4705,3755.86,80.79,53,48.0,1.03
Kentucky,2021-01-12,2902,3967.29,88.8,37,27.29,0.61
Kansas,2021-01-12,225,2278.0,78.19,0,51.14,1.76
Iowa,2021-01-12,1480,1565.14,49.61,83,31.86,1.01
Indiana,2021-01-12,3150,5345.86,79.41,88,63.0,0.94
Illinois,2021-01-12,6591,6932.86,54.71,132,132.57,1.05
Idaho,2021-01-12,917,905.71,50.68,11,12.71,0.71
Hawaii,2021-01-12,108,195.86,13.83,0,2.71,0.19
Georgia,2021-01-12,9339,9524.0,89.7,184,81.71,0.77
Florida,2021-01-12,14896,15908.43,74.07,156,148.43,0.69
District of Columbia,2021-01-12,430,322.43,45.69,4,3.43,0.49
Delaware,2021-01-12,619,763.71,78.43,5,6.29,0.65
Connecticut,2021-01-12,3689,2868.43,80.45,33,36.71,1.03
Colorado,2021-01-12,1570,2557.43,44.41,35,38.29,0.66
California,2021-01-12,45884,43494.0,110.08,724,517.0,1.31
Arkansas,2021-01-12,3209,2952.14,97.82,40,40.71,1.35
Arizona,2021-01-12,10968,9580.43,131.62,390,169.0,2.32
Alaska,2021-01-12,132,277.29,37.9,1,1.0,0.14
Alabama,2021-01-12,3848,4036.43,82.32,226,76.83,1.57
Northern Mariana Islands,2021-01-13,0,0.57,1.06,0,0.0,0.0
Guam,2021-01-13,15,9.43,5.6,0,0.14,0.08
Puerto Rico,2021-01-13,212,718.14,21.2,14,12.71,0.38
Virgin Islands,2021-01-13,0,17.71,16.67,0,0.14,0.13
Wyoming,2021-01-13,217,342.71,59.22,0,8.29,1.43
Wisconsin,2021-01-13,2771,3145.86,54.03,44,33.86,0.58
West Virginia,2021-01-13,1189,1387.71,77.43,37,27.14,1.51
Washington,2021-01-13,2327,2842.86,37.33,40,32.57,0.43
Virginia,2021-01-13,4598,5035.0,58.99,75,46.57,0.55
Vermont,2021-01-13,121,172.86,27.7,0,0.86,0.14
Utah,2021-01-13,5188,3156.71,98.46,27,16.57,0.52
Texas,2021-01-13,23324,21783.0,75.12,379,302.57,1.04
Tennessee,2021-01-13,4341,6174.43,90.41,131,108.57,1.59
South Dakota,2021-01-13,452,358.71,40.55,19,12.14,1.37
South Carolina,2021-01-13,6021,4591.86,89.18,51,47.0,0.91
Rhode Island,2021-01-13,1092,1003.14,94.69,17,13.86,1.31
Pennsylvania,2021-01-13,8033,8297.57,64.81,367,214.0,1.67
Oregon,2021-01-13,1318,1266.57,30.03,47,20.71,0.49
Oklahoma,2021-01-13,3907,4255.86,107.55,44,30.71,0.78
Ohio,2021-01-13,6701,8117.43,69.44,79,73.29,0.63
North Dakota,2021-01-13,166,186.14,24.43,1,3.29,0.43
North Carolina,2021-01-13,5190,8403.71,80.13,109,92.43,0.88
New York,2021-01-13,14704,16424.14,84.43,172,182.0,0.94
New Mexico,2021-01-13,1145,1305.0,62.24,13,23.71,1.13
New Jersey,2021-01-13,7878,6479.71,72.95,127,91.86,1.03
New Hampshire,2021-01-13,977,755.29,55.55,7,9.86,0.72
Nevada,2021-01-13,943,2324.0,75.45,45,42.14,1.37
Nebraska,2021-01-13,1470,933.57,48.26,11,12.4,0.64
Montana,2021-01-13,580,514.86,48.17,2,7.71,0.72
Missouri,2021-01-13,2450,3391.57,55.26,43,53.0,0.86
Mississippi,2021-01-13,1942,2237.71,75.19,31,43.14,1.45
Minnesota,2021-01-13,1487,1823.86,32.34,50,35.14,0.62
Michigan,2021-01-13,3115,3167.29,31.71,39,95.43,0.96
Massachusetts,2021-01-13,5918,6342.0,92.01,86,74.71,1.08
Maryland,2021-01-13,2521,3139.43,51.93,37,38.86,0.64
Maine,2021-01-13,824,580.0,43.15,4,11.57,0.86
Louisiana,2021-01-13,2896,3187.29,68.56,51,48.71,1.05
Kentucky,2021-01-13,4357,3811.57,85.31,40,27.0,0.6
Kansas,2021-01-13,4554,2173.14,74.59,100,46.86,1.61
Iowa,2021-01-13,1907,1483.57,47.02,10,24.57,0.78
Indiana,2021-01-13,3648,4988.29,74.1,59,60.0,0.89
Illinois,2021-01-13,5743,6689.86,52.79,122,125.86,0.99
Idaho,2021-01-13,1086,891.14,49.87,13,11.57,0.65
Hawaii,2021-01-13,93,191.14,13.5,3,1.71,0.12
Georgia,2021-01-13,8576,9693.71,91.3,138,88.71,0.84
Florida,2021-01-13,13990,15366.57,71.55,169,154.14,0.72
District of Columbia,2021-01-13,177,302.57,42.87,6,3.57,0.51
Delaware,2021-01-13,727,777.71,79.87,3,6.71,0.69
Connecticut,2021-01-13,3529,3017.43,84.63,87,43.71,1.23
Colorado,2021-01-13,2390,2602.14,45.19,28,39.14,0.68
California,2021-01-13,41678,44175.0,111.8,548,516.14,1.31
Arkansas,2021-01-13,2467,2775.29,91.96,65,40.71,1.35
Arizona,2021-01-13,4944,9294.29,127.69,152,174.57,2.4
Alaska,2021-01-13,283,270.0,36.91,1,0.86,0.12
Alabama,2021-01-13,3147,3830.14,78.12,187,90.0,1.84
Northern Mariana Islands,2021-01-14,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-14,13,10.14,6.02,0,0.14,0.08
Puerto Rico,2021-01-14,177,702.57,20.74,20,13.0,0.38
Virgin Islands,2021-01-14,0,17.71,16.67,0,0.14,0.13
Wyoming,2021-01-14,412,361.86,62.52,0,4.71,0.81
Wisconsin,2021-01-14,3140,2950.29,50.67,50,34.86,0.6
West Virginia,2021-01-14,827,1316.71,73.47,31,26.29,1.47
Washington,2021-01-14,2437,2727.71,35.82,40,32.86,0.43
Virginia,2021-01-14,5294,5022.86,58.85,74,50.14,0.59
Vermont,2021-01-14,205,167.14,26.79,4,1.0,0.16
Utah,2021-01-14,2742,2891.71,90.2,12,14.14,0.44
Texas,2021-01-14,29923,22824.71,78.72,423,310.57,1.07
Tennessee,2021-01-14,4863,5410.57,79.23,83,104.43,1.53
South Dakota,2021-01-14,317,340.0,38.43,10,10.0,1.13
South Carolina,2021-01-14,5802,4724.0,91.75,23,39.0,0.76
Rhode Island,2021-01-14,901,970.71,91.63,9,12.29,1.16
Pennsylvania,2021-01-14,7196,7917.57,61.85,294,218.86,1.71
Oregon,2021-01-14,1137,1308.43,31.02,21,22.86,0.54
Oklahoma,2021-01-14,3142,4164.57,105.25,34,30.0,0.76
Ohio,2021-01-14,7654,7746.43,66.27,109,75.43,0.65
North Dakota,2021-01-14,243,174.57,22.91,8,3.43,0.45
North Carolina,2021-01-14,8013,8032.14,76.58,92,89.43,0.85
New York,2021-01-14,14187,15938.29,81.93,237,187.71,0.96
New Mexico,2021-01-14,1424,1246.29,59.44,29,22.29,1.06
New Jersey,2021-01-14,7092,6424.43,72.33,87,86.71,0.98
New Hampshire,2021-01-14,653,788.14,57.96,12,10.0,0.74
Nevada,2021-01-14,2420,2188.43,71.05,68,45.0,1.46
Nebraska,2021-01-14,931,928.71,48.01,15,12.83,0.66
Montana,2021-01-14,431,477.43,44.67,10,5.71,0.53
Missouri,2021-01-14,2890,3107.86,50.64,52,50.29,0.82
Mississippi,2021-01-14,1948,2051.0,68.91,41,42.14,1.42
Minnesota,2021-01-14,1581,1766.43,31.32,43,35.0,0.62
Michigan,2021-01-14,3668,2977.0,29.81,175,91.0,0.91
Massachusetts,2021-01-14,5955,6114.43,88.71,74,74.86,1.09
Maryland,2021-01-14,2947,3136.14,51.87,45,39.43,0.65
Maine,2021-01-14,808,619.0,46.05,8,10.86,0.81
Louisiana,2021-01-14,5313,3299.14,70.97,58,50.29,1.08
Kentucky,2021-01-14,3793,3645.0,81.59,49,30.29,0.68
Kansas,2021-01-14,193,2121.86,72.83,0,46.86,1.61
Iowa,2021-01-14,1398,1338.57,42.43,19,26.57,0.84
Indiana,2021-01-14,4381,4574.29,67.95,39,54.14,0.8
Illinois,2021-01-14,6766,6391.71,50.44,109,112.0,0.88
Idaho,2021-01-14,946,858.0,48.01,17,10.57,0.59
Hawaii,2021-01-14,164,173.71,12.27,6,2.57,0.18
Georgia,2021-01-14,8924,9587.29,90.3,164,103.0,0.97
Florida,2021-01-14,13720,14495.71,67.49,217,161.71,0.75
District of Columbia,2021-01-14,220,295.71,41.9,11,4.86,0.69
Delaware,2021-01-14,892,730.86,75.05,1,6.57,0.67
Connecticut,2021-01-14,968,2683.71,75.27,17,38.0,1.07
Colorado,2021-01-14,2587,2337.71,40.59,31,31.57,0.55
California,2021-01-14,40694,44213.71,111.9,593,527.71,1.34
Arkansas,2021-01-14,2491,2656.43,88.03,42,43.14,1.43
Arizona,2021-01-14,9863,9309.0,127.89,187,158.86,2.18
Alaska,2021-01-14,335,271.43,37.1,2,0.71,0.1
Alabama,2021-01-14,3588,3621.86,73.87,185,106.5,2.17
Northern Mariana Islands,2021-01-15,0,0.43,0.8,0,0.0,0.0
Guam,2021-01-15,17,10.71,6.36,1,0.14,0.08
Puerto Rico,2021-01-15,1138,555.29,16.39,13,14.29,0.42
Virgin Islands,2021-01-15,0,17.71,16.67,0,0.14,0.13
Wyoming,2021-01-15,208,323.14,55.83,0,4.71,0.81
Wisconsin,2021-01-15,2706,2749.71,47.23,42,34.43,0.59
West Virginia,2021-01-15,1430,1250.14,69.76,31,25.57,1.43
Washington,2021-01-15,2161,2449.43,32.17,23,29.14,0.38
Virginia,2021-01-15,4795,4959.57,58.11,30,49.14,0.58
Vermont,2021-01-15,161,159.29,25.53,1,1.0,0.16
Utah,2021-01-15,2616,2723.57,84.95,14,13.14,0.41
Texas,2021-01-15,24594,22920.0,79.05,393,300.43,1.04
Tennessee,2021-01-15,5055,5101.43,74.7,78,97.71,1.43
South Dakota,2021-01-15,425,336.71,38.06,15,10.43,1.18
South Carolina,2021-01-15,4787,4541.57,88.21,103,48.86,0.95
Rhode Island,2021-01-15,1057,975.57,92.09,9,12.71,1.2
Pennsylvania,2021-01-15,6111,7331.0,57.26,226,221.57,1.73
Oregon,2021-01-15,1050,1207.0,28.62,26,24.71,0.59
Oklahoma,2021-01-15,3538,3922.57,99.13,43,31.71,0.8
Ohio,2021-01-15,7149,7405.57,63.35,67,73.29,0.63
North Dakota,2021-01-15,236,167.86,22.03,23,5.0,0.66
North Carolina,2021-01-15,9973,8045.57,76.71,108,87.57,0.83
New York,2021-01-15,19469,15925.29,81.86,206,193.86,1.0
New Mexico,2021-01-15,1262,1192.71,56.88,38,23.43,1.12
